
"TABLE_NAME","NUM_ROWS"
"CAJA",0
"CATEGORIA",3
"CLIENTE",0
"DETALLE_PEDIDO",0
"DETALLE_VENTA",0
"INSUMO",4
"LOCAL",1
"MOVIMIENTO_INVENTARIO",0
"PEDIDO",0
"PRODUCTO",6
"PROVEEDOR",2
"ROL",3
"USUARIO",3
"VENTA",0
